street,suburb,postcode,price_data,price_num,State,nbn_score,price_month,price_month_gbp,price_diff_abs,price_diff_prop,Note
23B Lincoln Avenue, Warradale,5046,$410 per week,410,NA,NA,1640,918.4,816.6,0.47,
19B  Lincoln Ave, Warradale,5046,$430 per week,430,NA,NA,1720,963.2,771.8,0.44,
511 Kensington Road, Wattle Park,5066,$440 per week,440,NA,NA,1760,985.6,749.4,0.43,
5A Crompton Drive, Wattle Park,5066,$430 per week,430,NA,NA,1720,963.2,771.8,0.44,
27a  Crompton Drive, Wattle Park,5066,$395 per week,395,NA,NA,1580,884.8,850.2,0.49,
11/311 Young Street, Wayville,5034,$400 per week,400,SA,1,1600,896,839,0.48,P - student style 1st flr flat
9 Weston St, West Beach,5024,$370 per week,370,NA,NA,1480,828.8,906.2,0.52,
13 Charles Veale Drive, West Beach,5024,$360 p.w.,360,NA,NA,1440,806.4,928.6,0.54,
8/20 Seaview Road, West Beach,5024,$350 per week,350,NA,NA,1400,784,951,0.55,
75 Jervois Avenue, West Hindmarsh,5007,$415 Per Week,415,SA,0.82,1660,929.6,805.4,0.46,
2 BOURN AVENUE, West Hindmarsh,5007,$390 per week,390,SA,0.82,1560,873.6,861.4,0.5,
96b Onkaparinga Valley Road, Woodside,5244,$415 per week,415,NA,NA,1660,929.6,805.4,0.46,
6 Schwab Rd, Woodside,5244,Negotiable,NA,NA,NA,NA,NA,NA,NA,
1/54 Moffett Street, Woodside,5244,$340 per week,340,NA,NA,1360,761.6,973.4,0.56,
7 View Road, Woodside,5244,$320 per week,320,NA,NA,1280,716.8,1018.2,0.59,
4 Lochhead Court, Wynn Vale,5127,NA,NA,SA,1,NA,NA,NA,NA,
57 Greenridge Court, Wynn Vale,5127,$450pw,450,SA,1,1800,1008,727,0.42,
5 Murphy Street, Wynn Vale,5127,$395 per week,395,SA,1,1580,884.8,850.2,0.49,
10 Creekvale Court, Wynn Vale,5127,$380 per week,380,SA,1,1520,851.2,883.8,0.51,
10 Egret Ct, Wynn Vale,5127,$380,380,SA,1,1520,851.2,883.8,0.51,
6  Grace Court, Wynn Vale,5127,$360 per week,360,SA,1,1440,806.4,928.6,0.54,
9 Chardonnay Cres, Wynn Vale,5127,$360 per week,360,SA,1,1440,806.4,928.6,0.54,
15 Hillcott Ave, Wynn Vale,5127,340,340,SA,1,1360,761.6,973.4,0.56,
