street,suburb,postcode,price_data,price_num,State,nbn_score,price_month,price_month_gbp,price_diff_abs,price_diff_prop
42 Devitt Avenue, Payneham South,5070,$375 per week,375,SA,0.83,1500,840.0000000000001,894.9999999999999,0.52
232 Hancock Rd, Redwood Park,5097,$370-400pw range,370,SA,0.83,1480,828.8000000000001,906.1999999999999,0.52
16 Catherine Street, Clapham,5062,$450 per week,450,SA,0.75,1800,1008.0000000000001,726.9999999999999,0.42
56 Railway Terrace, Warradale,5046,$340 per week,340,NA,NA,1360,761.6,973.4,0.56
50 Charles Street, Forestville,5035,$380 per week,380,NA,NA,1520,851.2,883.8,0.51
1 Taurus Cres, Modbury Heights,5092,$390 per week,390,SA,1,1560,873.6000000000001,861.3999999999999,0.5
10 Joycelyn Avenue, Surrey Downs,5126,$350,350,NA,NA,1400,784.0000000000001,950.9999999999999,0.55
171 Marion Road, Richmond,5033,$400 per week,400,NA,NA,1600,896.0000000000001,838.9999999999999,0.48
5A Northumberland Street, Heathpool,5068,$450 per week,450,NA,NA,1800,1008.0000000000001,726.9999999999999,0.42
4 Assyrian Court, Kidman Park,5025,$450 per week,450,SA,0,1800,1008.0000000000001,726.9999999999999,0.42
511 Kensington Road, Wattle Park,5066,$440 per week,440,NA,NA,1760,985.6000000000001,749.3999999999999,0.43
2/97 William Street, Norwood,5067,$440 per week,440,NA,NA,1760,985.6000000000001,749.3999999999999,0.43
34 Shierlaw Street, Richmond,5033,$395 per week,395,NA,NA,1580,884.8000000000001,850.1999999999999,0.49
9  Swallow Avenue, Modbury Heights,5092,$430 per week,430,SA,1,1720,963.2,771.8,0.44
75 Jervois Avenue, West Hindmarsh,5007,$415 Per Week,415,SA,0.82,1660,929.6000000000001,805.3999999999999,0.46
587 Anzac Highway, Glenelg North,5045,$400 per week,400,NA,NA,1600,896.0000000000001,838.9999999999999,0.48
1/4 Junction Road, Littlehampton,5250,$330 per week,330,SA,1,1320,739.2,995.8,0.57
1/54 Moffett Street, Woodside,5244,$340 per week,340,NA,NA,1360,761.6,973.4,0.56
223A Payneham Road, St Peters,5069,$450 Per Week,450,SA,0,1800,1008.0000000000001,726.9999999999999,0.42
5A Crompton Drive, Wattle Park,5066,$430 per week,430,NA,NA,1720,963.2,771.8,0.44
12/25 Frederick Street, Unley,5061,$420 per week,420,SA,1,1680,940.8000000000001,794.1999999999999,0.46
23B Lincoln Avenue, Warradale,5046,$410 per week,410,NA,NA,1640,918.4000000000001,816.5999999999999,0.47
1 Horn Street, Houghton,5131,$395 per week,395,SA,0,1580,884.8000000000001,850.1999999999999,0.49
19B  Lincoln Ave, Warradale,5046,$430 per week,430,NA,NA,1720,963.2,771.8,0.44
Littlehampton, address available on request,NA,LEASE PENDING,NA,NA,NA,NA,NA,NA,NA
32 Airdrie Avenue, Seaton,5023,$380 per week,380,SA,1,1520,851.2,883.8,0.51
12 Dudley Crescent, Marino,5049,$420 per week,420,NA,NA,1680,940.8000000000001,794.1999999999999,0.46
6 Solandra Way, Modbury North,5092,$350 / Wk,350,SA,1,1400,784.0000000000001,950.9999999999999,0.55
31 Third Ave, St Morris,5068,$420 per week,420,NA,NA,1680,940.8000000000001,794.1999999999999,0.46
7 View Road, Woodside,5244,$320 per week,320,NA,NA,1280,716.8000000000001,1018.1999999999999,0.59
68 Harrow Road, College Park,5069,$430 per week,430,SA,0,1720,963.2,771.8,0.44
3 Verdun Street, Beulah Park,5067,$450 per week,450,NA,NA,1800,1008.0000000000001,726.9999999999999,0.42
7/55 Tarlton Street, Somerton Park,5044,$420 Per Week,420,NA,NA,1680,940.8000000000001,794.1999999999999,0.46
6 Mcewan Avenue, Seaton,5023,$375 per week,375,SA,1,1500,840.0000000000001,894.9999999999999,0.52
111 Piccadilly Road, Crafers,5152,LEASED,NA,SA,0.4,NA,NA,NA,NA
27a  Crompton Drive, Wattle Park,5066,$395 per week,395,NA,NA,1580,884.8000000000001,850.1999999999999,0.49
44 CLIFTON STREET, Camden Park,5038,$445 per week,445,SA,0.25,1780,996.8000000000001,738.1999999999999,0.43
7 Pearse Street, Underdale,5032,$450 per week,450,SA,0,1800,1008.0000000000001,726.9999999999999,0.42
11 Reynolds Avenue, Brooklyn Park,5032,NA,NA,SA,0,NA,NA,NA,NA
50 Shierlaw Street, Richmond,5033,$450 per week,450,NA,NA,1800,1008.0000000000001,726.9999999999999,0.42
19  HAMPTON ROAD, Keswick,5035,$360 per week,360,NA,NA,1440,806.4000000000001,928.5999999999999,0.54
